1,EL GALLO
2,EL DIABLITO
3,LA DAMA
4,EL CATRIN
5,EL PARAGUAS
6,LA SIRENA
7,LA ESCALERA
8,LA BOTELLA
9,EL BARRIL
10,EL ARBOL
11,EL MELON
12,EL VALIENTE
13,EL GORRITO
14,LA MUERTE
15,LA PERA
16,LA BANDERA
17,EL BANDOLON
18,EL VIOLONCELLO
19,LA GARZA
20,EL PAJARO
21,LA MANO
22,LA BOTA
23,LA LUNA
24,EL COTORRO
25,EL BORRACHO
26,EL NEGRITO
27,EL CORAZON
28,LA SANDIA
29,EL TAMBOR
30,EL CAMARON
31,LAS JARAS
32,EL MUSICO
33,LA ARAÑA
34,EL SOLDADO
35,LA ESTRELLA
36,EL CAZO
37,EL MUNDO
38,EL APACHE
39,EL NOPAL
40,EL ALACRAN
41,LA ROSA
42,LA CALAVERA
43,LA CAMPANA
44,EL CANTARITO
45,EL VENADO
46,EL SOL
47,LA CORONA
48,LA CHALUPA
49,EL PINO
50,EL PESCADO
51,LA PALMA
52,LA MACETA
53,EL ARPA
54,LA RANA
